t,b,s,h,l,v
1580005856,8323.96,8325.08,8420,8282.25,22177.295209
1580005857,8323.96,8325.03,8420,8282.25,22177.295209
1580005857,8323.96,8324.95,8420,8282.25,22176.838219
1580005857,8323.96,8324.9,8420,8282.25,22176.878313
1580005857,8323.96,8324.79,8420,8282.25,22176.880713
1580005857,8323.96,8324.73,8420,8282.25,22176.880713
1580005857,8323.96,8324.65,8420,8282.25,22176.880713
1580005857,8323.96,8324.59,8420,8282.25,22176.880713
1580005857,8323.96,8324.54,8420,8282.25,22176.880713
1580005858,8323.96,8324.53,8420,8282.25,22176.880713
1580005858,8323.96,8324.45,8420,8282.25,22176.972098
1580005858,8323.96,8324.39,8420,8282.25,22176.972098
1580005858,8323.96,8324.34,8420,8282.25,22176.972098
1580005858,8323.96,8324.3,8420,8282.25,22176.972098
1580005858,8323.96,8324.25,8420,8282.25,22176.972098
1580005858,8323.96,8324.16,8420,8282.25,22176.972098
1580005858,8323.96,8324.13,8420,8282.25,22176.561853
1580005858,8323.96,8324.13,8420,8282.25,22176.561853
1580005858,8323.96,8324.09,8420,8282.25,22176.561853
1580005859,8323.96,8324.05,8420,8282.25,22176.578318
1580005859,8323.96,8324.02,8420,8282.25,22176.578318
1580005859,8322.57,8324.01,8420,8282.25,22176.976885
1580005859,8322.57,8323.96,8420,8282.25,22176.99778
1580005859,8322.57,8323.91,8420,8282.25,22176.99778
1580005859,8322.57,8323.86,8420,8282.25,22176.99778
1580005859,8322.57,8323.81,8420,8282.25,22176.99778
1580005859,8322.57,8323.76,8420,8282.25,22176.99968
1580005859,8322.57,8323.72,8420,8282.25,22176.99968
1580005860,8322.58,8323.65,8420,8282.25,22176.640174
1580005860,8322.57,8323.65,8420,8282.25,22176.640174
1580005860,8322.57,8323.61,8420,8282.25,22176.640174
1580005860,8322.58,8323.58,8420,8282.25,22176.640174
1580005860,8322.58,8323.56,8420,8282.25,22176.640174
1580005860,8322.58,8323.65,8420,8282.25,22176.640174
1580005860,8322.59,8323.65,8420,8282.25,22176.640174
1580005860,8322.59,8323.65,8420,8282.25,22176.640174
1580005860,8322.6,8323.65,8420,8282.25,22176.640174
1580005861,8322.62,8323.65,8420,8282.25,22176.640174
1580005861,8322.63,8323.65,8420,8282.25,22176.640174
1580005861,8322.63,8323.65,8420,8282.25,22176.640174
1580005861,8322.63,8323.65,8420,8282.25,22176.640174
1580005861,8322.65,8323.65,8420,8282.25,22176.640174
1580005861,8322.65,8323.64,8420,8282.25,22176.640174
1580005861,8322.65,8323.65,8420,8282.25,22176.630912
1580005861,8322.65,8323.64,8420,8282.25,22176.630912
1580005861,8322.65,8323.63,8420,8282.25,22176.630912
1580005861,8322.61,8323.61,8420,8282.25,22176.504102
1580005862,8322.62,8323.61,8420,8282.25,22176.504102
1580005862,8322.62,8323.61,8420,8282.25,22176.504102
1580005862,8322.61,8323.56,8420,8282.25,22176.504102
1580005862,8322.62,8323.53,8420,8282.25,22176.504102
1580005862,8322.61,8323.52,8420,8282.25,22176.504102
1580005862,8322.61,8323.48,8420,8282.25,22176.504102
1580005862,8322.61,8323.45,8420,8282.25,22176.517923
1580005862,8322.61,8323.45,8420,8282.25,22176.517923
1580005862,8322.61,8323.45,8420,8282.25,22176.517923
1580005863,8322.61,8323.46,8420,8282.25,22176.517923
1580005863,8322.61,8323.47,8420,8282.25,22176.517923
1580005863,8322.61,8323.48,8420,8282.25,22176.517923
1580005863,8322.61,8323.49,8420,8282.25,22176.517923
1580005863,8322.61,8323.5,8420,8282.25,22176.517923
1580005863,8322.61,8323.44,8420,8282.25,22176.517923
1580005863,8322.61,8323.41,8420,8282.25,22176.517923
1580005863,8322.61,8323.4,8420,8282.25,22176.517923
1580005863,8322.61,8323.36,8420,8282.25,22176.506334
1580005863,8322.61,8323.33,8420,8282.25,22176.506334
1580005864,8322.61,8323.29,8420,8282.25,22176.411481
1580005864,8322.56,8323.25,8420,8282.25,22176.411481
1580005864,8322.56,8323.22,8420,8282.25,22176.011481
1580005864,8322.56,8323.17,8420,8282.25,22176.011481
1580005864,8322.57,8323.17,8420,8282.25,22176.010277
1580005864,8322.57,8323.45,8420,8282.25,22176.010277
1580005865,8322.57,8323.16,8420,8282.25,22176.010277
1580005865,8322.58,8323.16,8420,8282.25,22176.010277
1580005865,8322.57,8323.16,8420,8282.25,22176.010277
1580005865,8322.57,8323.16,8420,8282.25,22176.010277
1580005865,8322.57,8323.16,8420,8282.25,22176.010277
1580005865,8322.57,8323.16,8420,8282.25,22176.010277
1580005865,8322.57,8323.16,8420,8282.25,22176.007431
1580005865,8322.57,8323.16,8420,8282.25,22176.007431
1580005865,8322.57,8323.14,8420,8282.25,22175.842053
1580005865,8322.57,8323.14,8420,8282.25,22175.842053
1580005865,8322.57,8323.14,8420,8282.25,22175.842053
1580005865,8322.57,8323.14,8420,8282.25,22175.842053
1580005865,8322.57,8323.14,8420,8282.25,22175.842053
1580005866,8322.58,8323.14,8420,8282.25,22175.842053
